50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y
,,,,"[72.2, 35.5]",,,,,,,,,,,,1.059556,,,,,,,,,,,,,69d497b4-a35f-4654-99b1-663e230d5a46,1992,,,"[70.6, 31.0]",3829500,49,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Marco Verratti,3166.0,Right Center Midfield,103,Paris Saint-Germain,131,"['61927187-3af1-4f5d-8299-40c6c91c0fe7', '72346a28-a0e9-4e2f-933c-5dfe0c4de803', 'add7306a-bdb8-49ee-b197-aafbde6e00f8']",18,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:04:18.094,Carry,True,70.6,31.0,,,72.2,35.5
,,,,"[94.8, 70.3]",,,,,,,,,,,,1.58274,,,,,,,,,,,,,32848291-4178-4d4a-8362-058e9b4fa7c7,1996,,,"[90.3, 61.4]",3829500,49,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Ángel Fabián Di María Hernández,2995.0,Right Wing,103,Paris Saint-Germain,131,"['5ade6584-8525-4071-bdf7-c6f2288ba370', '85e73b11-b65e-42b6-b989-9e747fda08fc', '86d32a32-b31e-4493-9ac9-04a6fb58da5c']",20,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:04:20.614,Carry,True,90.3,61.4,,,94.8,70.3
,,,,"[113.2, 53.8]",,,,,,,,,,,,0.822434,,,,,,,,,,,,,721d1bd9-2fdf-43e1-ac07-752d7b4aa540,2001,,,"[106.8, 50.6]",3829500,49,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Serge Aurier,3481.0,Right Back,103,Paris Saint-Germain,131,"['2f7df745-1aff-4720-b8e3-618909f6a09d', '64bfa625-5a08-42cd-a91e-907f484e5d5f', 'd5da24e8-257e-4c71-939c-5e8b0e63f092']",24,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:04:24.205,Carry,True,106.8,50.6,,,113.2,53.8
,,,,"[72.0, 61.9]",,,,,,,,,,,,3.017012,,,,,,,,,,,,,eaab3001-fcf8-4fef-9e06-e9a30d219944,2007,,,"[57.5, 58.1]",3829500,49,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Serge Aurier,3481.0,Right Back,104,Marseille,147,"['784f61b4-7783-4711-ba59-0ffe6b950b84', 'd91b6200-ce30-4591-ad0e-148df1339f54', 'e958a7c6-3543-4d2f-a218-bf204f371f2e']",56,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:04:56.383,Carry,True,57.5,58.1,,,72.0,61.9
,,,,"[65.9, 5.7]",,,,,,,,,,,,1.240487,,,,,,,,,,,,,b1c1b641-2813-4dae-888e-573d9dc2ac15,2013,,,"[62.6, 6.0]",3829500,50,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Abdelaziz Barrada,23933.0,Left Wing,104,Marseille,147,"['080e498c-b3b1-42b9-91fb-7bec4807561e', '5da2da4c-f5e9-4cb5-8499-8059563aba14', 'a0c95d1c-7d30-4b1b-acc4-b2bad99c44a6']",2,,,,,,,,,,,,,,,,,,Marseille,147,00:05:02.133,Carry,True,62.6,6.0,,,65.9,5.7
,,,,"[71.2, 64.2]",,,,,,,,,,,,1.178318,,,,,,,,,,,,,98468afb-9505-4d59-b6e8-46b4f947fc47,2019,,,"[70.9, 57.0]",3829500,50,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Zlatan Ibrahimović,3672.0,Center Forward,104,Marseille,147,"['77f78c19-fdc6-41c9-ad7e-90a6676032c7', '955e0155-4daa-452b-8d6e-cf185418e2e2']",6,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:05:06.112,Carry,,70.9,57.0,,,71.2,64.2
,,,,"[45.4, 31.2]",,,,,,,,,,,,0.255249,,,,,,,,,,,,,9925f455-0977-4715-8a5e-6517183ca057,2024,,,"[45.0, 33.1]",3829500,50,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Lucas Silva Borges,25199.0,Left Defensive Midfield,104,Marseille,147,"['824f0f0e-0373-4515-87b8-2117ea660dda', 'bf30bcba-f272-4cbc-82be-5745888d712e', 'f441a2bb-a57e-489d-aba3-9d0fb8015cab']",9,,,,,,,,,,,,,,,,,,Marseille,147,00:05:09.011,Carry,True,45.0,33.1,,,45.4,31.2
,,,,"[63.1, 28.0]",,,,,,,,,,,,0.718601,,,,,,,,,,,,,c0e7f292-1d5b-4d3f-8cea-0bf99ada04e1,2029,,,"[63.1, 28.0]",3829500,50,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Edinson Roberto Cavani Gómez,4319.0,Left Wing,105,Paris Saint-Germain,131,"['cbfda787-af71-4108-8304-1a437a89c66a', 'e9657b5e-f250-4204-a690-7477c48896d0']",13,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:05:13.081,Carry,,63.1,28.0,,,63.1,28.0
,,,,"[54.2, 45.6]",,,,,,,,,,,,1.239999,,,,,,,,,,,,,b47dbbed-4f1b-4973-a6dc-abb49998ace2,2032,,,"[53.2, 42.4]",3829500,50,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Marco Verratti,3166.0,Right Center Midfield,105,Paris Saint-Germain,131,"['125962ba-fb69-4754-90c2-627a75c32dd4', '682f6a86-2d86-481c-ad05-529749d0b786']",15,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:05:15.144,Carry,,53.2,42.4,,,54.2,45.6
,,,,"[67.9, 71.7]",,,,,,,,,,,,0.264284,,,,,,,,,,,,,10ef63da-e3b1-4299-8e39-023dcf5c8d80,2037,,,"[63.6, 71.7]",3829500,50,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Serge Aurier,3481.0,Right Back,105,Paris Saint-Germain,131,"['593edf79-a97c-40ad-aa4e-72bd6590ff5e', '8889e526-dfbc-411d-a91e-c7019b546967']",19,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:05:19.423,Carry,,63.6,71.7,,,67.9,71.7
