x,y,shot_body_part,shot_technique,under_pressure,shot_first_time,goal,shot_statsbomb_xg,team,player,minute,second,distance_to_goal,angle_to_goal,is_central_zone,is_left_side,is_right_side
95.7,53.1,Right Foot,Normal,0,0,0,0.044442195,Paris Saint-Germain,Zlatan Ibrahimović,80,28,27.60615873315228,0.2989871871162989,0,0,1
94.9,41.7,Left Foot,Normal,0,0,0,0.02030118,Paris Saint-Germain,Zlatan Ibrahimović,81,23,25.157503850740035,0.2895924872533886,1,0,1
97.6,44.2,Right Foot,Normal,1,0,0,0.11034992,Paris Saint-Germain,Zlatan Ibrahimović,82,13,22.790348834539596,0.32392333613735924,1,0,1
106.9,46.3,Right Foot,Volley,1,1,0,0.13162276,Paris Saint-Germain,Zlatan Ibrahimović,84,17,14.536161804272812,0.5448846468926428,1,0,1
112.1,34.9,Head,Normal,1,0,1,0.09333907,Paris Saint-Germain,Zlatan Ibrahimović,88,45,9.403190947758112,0.8677034040995953,1,1,0
97.0,26.8,Left Foot,Lob,0,1,0,0.040270984,Paris Saint-Germain,Adrien Rabiot,2,47,26.51867266663247,0.3156145747080703,0,1,0
94.6,38.1,Left Foot,Volley,0,1,0,0.0313294,Paris Saint-Germain,Ángel Fabián Di María Hernández,25,34,25.47096386083574,0.28621888483059693,1,1,0
99.7,32.6,Left Foot,Normal,0,1,0,0.052352,Paris Saint-Germain,Zlatan Ibrahimović,35,58,21.606711920141848,0.35675842831041055,1,1,0
115.3,41.0,Right Foot,Normal,0,0,0,0.85737664,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,35,59,4.805205510693588,1.32326419386673,1,0,1
111.9,44.6,Head,Normal,0,0,0,0.12663935,Paris Saint-Germain,Serge Aurier,56,36,9.315041599477693,0.8487857199499718,1,0,1
115.3,36.4,Head,Normal,0,0,1,0.33041242,Paris Saint-Germain,Zlatan Ibrahimović,58,32,5.920304046246277,1.32326419386673,1,1,0
110.7,39.1,Head,Normal,0,0,0,0.070314616,Paris Saint-Germain,Serge Aurier,83,16,9.34344690143846,0.7498645976673648,1,1,0
109.0,38.3,Head,Normal,1,0,0,0.042711172,Paris Saint-Germain,Serge Aurier,84,44,11.130588483993108,0.6424100014274465,1,1,0
115.2,34.4,Left Foot,Half Volley,0,1,0,0.16578136,Paris Saint-Germain,Jean-Kévin Augustin,84,44,7.375635565834309,1.3029064549015714,1,1,0
107.5,29.8,Left Foot,Normal,0,0,0,0.13881177,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,90,27,16.133505508723143,0.5696765414707413,0,1,0
100.7,50.9,Left Foot,Normal,0,0,0,0.039518367,Paris Saint-Germain,Ángel Fabián Di María Hernández,90,38,22.165288177689003,0.37482373201875147,0,0,1
111.7,39.4,Head,Normal,0,0,1,0.19830555,Paris Saint-Germain,Edinson Roberto Cavani Gómez,12,3,8.321658488546616,0.8306282144307795,1,1,0
108.3,41.1,Head,Normal,1,0,0,0.044271223,Paris Saint-Germain,Thiago Emiliano da Silva,40,26,11.751595636338076,0.6063536783391891,1,0,1
115.8,30.0,Right Foot,Normal,1,0,1,0.18566726,Paris Saint-Germain,Edinson Roberto Cavani Gómez,48,26,10.846197490365,1.4336073198863468,1,1,0
115.5,44.3,Head,Normal,0,0,0,0.26147515,Paris Saint-Germain,Zlatan Ibrahimović,52,55,6.2241465278381725,1.3656366219583074,1,0,1
91.5,43.4,Right Foot,Normal,0,0,0,0.029047206,Paris Saint-Germain,Christopher Nkunku,54,55,28.702090516197597,0.25544397038053845,1,0,1
117.0,37.9,Head,Normal,0,0,1,0.5072537,Paris Saint-Germain,Edinson Roberto Cavani Gómez,57,47,3.6619666847201118,1.768349510930222,1,1,0
108.6,49.9,Right Foot,Normal,0,0,0,0.1949924,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,82,5,15.098675438593945,0.6213150141255195,1,0,1
