x,y,shot_body_part,shot_technique,under_pressure,shot_first_time,goal,shot_statsbomb_xg,team,player,minute,second
111.7,39.4,Head,Normal,0,0,1,0.19830555,Paris Saint-Germain,Edinson Roberto Cavani Gómez,12,3
108.3,41.1,Head,Normal,1,0,0,0.044271223,Paris Saint-Germain,Thiago Emiliano da Silva,40,26
115.8,30.0,Right Foot,Normal,1,0,1,0.18566726,Paris Saint-Germain,Edinson Roberto Cavani Gómez,48,26
115.5,44.3,Head,Normal,0,0,0,0.26147515,Paris Saint-Germain,Zlatan Ibrahimović,52,55
91.5,43.4,Right Foot,Normal,0,0,0,0.029047206,Paris Saint-Germain,Christopher Nkunku,54,55
117.0,37.9,Head,Normal,0,0,1,0.5072537,Paris Saint-Germain,Edinson Roberto Cavani Gómez,57,47
108.6,49.9,Right Foot,Normal,0,0,0,0.1949924,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,82,5
111.7,41.0,Head,Normal,1,0,0,0.074019946,Paris Saint-Germain,Marcos Aoás Corrêa,82,35
102.0,46.9,Right Foot,Normal,0,0,1,0.25058663,Paris Saint-Germain,Zlatan Ibrahimović,91,37
109.2,41.2,Head,Normal,0,0,0,0.080745056,Paris Saint-Germain,Marcos Aoás Corrêa,7,43
95.2,57.1,Left Foot,Normal,0,0,0,0.0140274605,Paris Saint-Germain,Ángel Fabián Di María Hernández,14,16
63.0,40.8,Right Foot,Lob,0,0,0,0.003537224,Paris Saint-Germain,Zlatan Ibrahimović,16,37
105.0,52.9,Left Foot,Normal,0,1,0,0.09409077,Paris Saint-Germain,Ángel Fabián Di María Hernández,22,19
114.6,38.1,Left Foot,Normal,1,1,0,0.36291397,Paris Saint-Germain,Edinson Roberto Cavani Gómez,22,36
99.4,31.0,Right Foot,Normal,0,1,0,0.034316353,Paris Saint-Germain,Javier Matías Pastore,23,12
103.9,51.5,Right Foot,Half Volley,0,0,0,0.07941869,Paris Saint-Germain,Zlatan Ibrahimović,25,0
93.6,55.9,Right Foot,Normal,0,0,0,0.01507959,Paris Saint-Germain,Edinson Roberto Cavani Gómez,27,15
98.1,43.4,Right Foot,Normal,0,0,0,0.10155114,Paris Saint-Germain,Zlatan Ibrahimović,35,14
99.1,37.7,Right Foot,Normal,1,0,0,0.04345059,Paris Saint-Germain,Ángel Fabián Di María Hernández,40,40
113.1,44.9,Head,Normal,1,0,0,0.07561195,Paris Saint-Germain,Thiago Emiliano da Silva,41,43
105.7,43.1,Right Foot,Normal,0,1,0,0.1595827,Paris Saint-Germain,Zlatan Ibrahimović,45,52
114.9,43.6,Left Foot,Normal,0,1,0,0.6648081,Paris Saint-Germain,Edinson Roberto Cavani Gómez,46,38
106.6,37.2,Left Foot,Half Volley,0,1,0,0.17507629,Paris Saint-Germain,Javier Matías Pastore,46,39
107.2,35.0,Right Foot,Normal,0,0,1,0.4351613,Paris Saint-Germain,Maxwell Scherrer Cabelino Andrade,49,18
113.4,36.3,Right Foot,Volley,0,1,1,0.30746105,Paris Saint-Germain,Zlatan Ibrahimović,53,3
109.4,23.8,Right Foot,Normal,0,1,0,0.057693005,Paris Saint-Germain,Edinson Roberto Cavani Gómez,55,25
108.7,57.2,Right Foot,Normal,0,1,0,0.023819009,Paris Saint-Germain,Javier Matías Pastore,67,29
104.8,32.3,Right Foot,Normal,0,1,0,0.58671016,Paris Saint-Germain,Zlatan Ibrahimović,75,12
112.0,50.4,Right Foot,Normal,0,0,0,0.2621347,Paris Saint-Germain,Javier Matías Pastore,76,2
105.2,34.6,Left Foot,Normal,0,0,1,0.20260298,Paris Saint-Germain,Zlatan Ibrahimović,77,34
110.6,53.1,Right Foot,Volley,0,1,0,0.0490616,Paris Saint-Germain,Zlatan Ibrahimović,79,23
105.4,38.3,Right Foot,Half Volley,1,0,0,0.16839604,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,80,24
109.5,34.3,Right Foot,Normal,0,1,0,0.4817113,Paris Saint-Germain,Edinson Roberto Cavani Gómez,80,26
109.8,45.0,Right Foot,Normal,1,1,0,0.12553844,Paris Saint-Germain,Edinson Roberto Cavani Gómez,89,31
97.9,48.4,Left Foot,Normal,0,0,0,0.03815984,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,89,51
104.0,29.6,Right Foot,Normal,0,0,1,0.112456836,Paris Saint-Germain,Edinson Roberto Cavani Gómez,90,33
94.5,32.6,Right Foot,Normal,0,0,1,0.04361412,Paris Saint-Germain,Zlatan Ibrahimović,11,1
113.3,40.7,Head,Normal,1,0,0,0.27007103,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,21,15
